"year_"	"ID"	"UL"	"UR"	"LL"	"LR"	"gps_tagID"	"sex"	"lat"	"lon"	"caught_time"	"dead"
2017	"270170113"	"M"	"Y"	"DB,R"	"DB"	NA	"F"	71.2891998291016	-156.667999267578	2017-06-01 15:55:00	0
2017	"270170114"	"M"	"Y"	"DB,R"	"G"	NA	"F"	71.2895965576172	-156.669006347656	2017-06-01 16:22:00	0
2017	"270170115"	"M"	"Y"	"DB,R"	"R"	NA	"F"	71.3242034912109	-156.67399597168	2017-06-01 19:16:00	0
2017	"270170116"	"M"	"Y"	"DB,R"	"W"	NA	"F"	71.2626037597656	-156.619995117188	2017-06-03 10:57:00	0
2017	"270170117"	"M"	"Y"	"DB,R"	"Y"	NA	"F"	71.2624969482422	-156.619003295898	2017-06-03 11:28:00	0
2017	"270170118"	"M"	"Y"	"DB,W"	"DB"	NA	"F"	71.263298034668	-156.626998901367	2017-06-03 16:20:00	0
2017	"270170119"	"M"	"Y"	"DB,W"	"G"	NA	"F"	71.2617034912109	-156.61799621582	2017-06-03 17:10:00	0
2017	"270170120"	"M"	"Y"	"DB,W"	"W"	NA	"F"	71.2621994018555	-156.619003295898	2017-06-03 17:40:00	0
2017	"270170121"	"M"	NA	NA	"COBA"	NA	"M"	71.2617034912109	-156.61799621582	2017-06-03 17:32:00	1
2017	"270170122"	"M"	"Y"	"DB,W"	"Y"	NA	"F"	71.2928009033203	-156.669998168945	2017-06-04 17:25:00	0
2017	"270170123"	"M"	"Y"	"DB,Y"	"DB"	NA	"F"	71.3226013183594	-156.675003051758	2017-06-06 19:47:00	0
2017	"270170124"	"M"	"Y"	"DB,Y"	"G"	NA	"F"	71.3240966796875	-156.671997070312	2017-06-07 09:42:00	0
2017	"270170125"	"M"	"Y"	"DB,Y"	"R"	NA	"F"	71.3221969604492	-156.675003051758	2017-06-07 10:25:00	0
2018	"270170125"	"M"	"Y"	"DB,Y"	"R"	NA	"F"	71.3228302001953	-156.673400878906	2018-06-13 11:51:00	0
2017	"270170126"	"M"	"Y"	"DB,Y"	"W"	NA	"F"	71.3228988647461	-156.673004150391	2017-06-10 10:37:00	0
2017	"270170127"	"M"	"Y"	"DB,Y"	"Y"	NA	"F"	71.3243026733398	-156.671997070312	2017-06-11 10:15:00	0
2017	"270170128"	"M"	"Y"	"W,DB"	"DB"	NA	"F"	71.3281021118164	-156.643005371094	2017-06-11 12:41:00	0
2017	"270170128"	"M"	"Y"	"W,DB"	"DB"	NA	"F"	71.3264007568359	-156.643005371094	2017-06-13 12:10:00	1
2017	"270170129"	"M"	"Y"	"W,DB"	"G"	NA	"F"	71.3243026733398	-156.671997070312	2017-06-12 13:55:00	0
2017	"270170130"	"M"	"Y"	"W,DB"	"R"	NA	"F"	71.3281021118164	-156.641998291016	2017-06-12 17:08:00	0
2017	"270170130"	"M"	"Y"	"W,DB"	"R"	NA	"F"	71.3280029296875	-156.643005371094	2017-06-13 12:36:00	0
2017	"270170131"	"M"	"Y"	"W,DB"	"W"	NA	"F"	71.3281021118164	-156.643005371094	2017-06-12 17:36:00	0
2017	"270170132"	"M"	"Y"	"W,DB"	"Y"	NA	"F"	71.3282012939453	-156.643005371094	2017-06-12 18:30:00	0
2017	"270170133"	"M"	"Y"	"DB,DB"	"O"	NA	"F"	71.3282012939453	-156.643005371094	2017-06-13 12:44:00	0
2017	"270170134"	"M"	"Y"	"DB,G"	"O"	NA	"F"	71.3244018554688	-156.669998168945	2017-06-14 10:52:00	0
2017	"270170135"	"M"	"Y"	"DB,O"	"DB"	NA	"F"	71.3244018554688	-156.673004150391	2017-06-14 11:50:00	0
2017	"270170136"	"M"	"Y"	"DB,O"	"G"	NA	"F"	71.3247985839844	-156.626998901367	2017-06-14 15:31:00	0
2017	"270170137"	"M"	"Y"	"DB,O"	"R"	NA	"M"	71.3247985839844	-156.626998901367	2017-06-14 15:31:00	0
2017	"270170138"	"M"	"Y"	"DB,O"	"O"	NA	"F"	71.3230972290039	-156.671005249023	2017-06-14 17:30:00	0
2017	"270170139"	"M"	"Y"	"DB,O"	"W"	NA	"F"	71.2525024414062	-156.774993896484	2017-06-16 15:27:00	0
2017	"270170140"	"M"	"Y"	"DB,O"	"Y"	NA	"M"	71.2528991699219	-156.77799987793	2017-06-16 16:05:00	0
2017	"270170141"	"M"	"Y"	"DB,R"	"O"	NA	"F"	71.2527008056641	-156.774002075195	2017-06-16 17:14:00	0
2017	"270170142"	"M"	"Y"	"O,R"	"DB"	NA	"F"	71.2528991699219	-156.774002075195	2017-06-16 17:36:00	0
2017	"270170143"	"M"	"Y"	"DB,W"	"O"	NA	"F"	71.3227996826172	-156.673004150391	2017-06-17 11:02:00	0
2017	"270170144"	"M"	"Y"	"DB,Y"	"O"	NA	"M"	71.3223037719727	-156.67399597168	2017-06-18 12:12:00	0
2017	"270170145"	"M"	"Y"	"O,O"	"W"	NA	"F"	71.3223037719727	-156.67399597168	2017-06-18 12:12:00	0
2017	"270170146"	"M"	"Y"	"O,R"	"R"	NA	"M"	71.3225021362305	-156.673004150391	2017-06-18 12:38:00	0
2017	"270170147"	"M"	"Y"	"O,R"	"W"	NA	"F"	71.3225021362305	-156.673004150391	2017-06-18 12:38:00	0
2017	"270170148"	"M"	"Y"	"O,O"	"Y"	NA	"M"	71.3224029541016	-156.675003051758	2017-06-18 13:06:00	0
2017	"270170149"	"M"	"Y"	"O,W"	"DB"	NA	"F"	71.3224029541016	-156.675003051758	2017-06-18 13:06:00	0
2017	"270170150"	"M"	"Y"	"O,W"	"G"	NA	"M"	71.3248977661133	-156.641998291016	2017-06-21 15:55:00	0
2017	"270170151"	"M"	"Y"	"O,W"	"O"	NA	"M"	71.3227996826172	-156.636993408203	2017-06-21 16:20:00	0
